r1_id,r1_name,r1_phone,r1_cuisine,r2_id,r2_name,r2_phone,r2_cuisine,a1_value,a2_value,c1_value,c2_value
35,gotham bar & grill,212/620 -4020,american,364,tribeca grill,212/941 -3900,american,12 e 12th st,375 greenwich st near franklin st,` new york ',` new york '
209,caffe dell artista,212/645 -4431,` coffee bar ',362,trattoria dell arte,212/245 -9800,italian,46 greenwich ave,900 7th ave between 56th and 57th sts,` new york ',` new york '
360,the coffee pot,212/265 -3566,` coffee bar ',361,the savannah,212/496 -1066,american,350 9th ave at 49th st,2420 broadway at 89th st,` new york ',` new york '
308,milan and coffee bar,212/807 -1801,` coffee bar ',360,the coffee pot,212/265 -3566,` coffee bar ',120 w 23rd st,350 9th ave at 49th st,` new york ',` new york '
313,new york kom tang soot bul house,' 212 / 947-8482 ',asian,356,tang pavillion,212/956 -6888,asian,32 w 32nd st,65 w 55th st,` new york ',` new york '
29,carnegie deli,212/757 -2245,delicatessen,352,stage deli,212/245 -7850,delicatessen,854 7th ave between 54th and 55th sts,834 7th ave between 53rd and 54th sts,` new york ',` new york '
347,seventh regiment mess and bar,212/744 -4107,american,351,spring street natural restaurant & bar,212/966 -0290,american,643 park ave at 66th st,62 spring st at lafayette st,` new york ',` new york '
326,pen & pencil,212/682 -8660,american,351,spring street natural restaurant & bar,212/966 -0290,american,205 e 45th st,62 spring st at lafayette st,` new york ',` new york '
309,monkey bar,212/838 -2600,american,351,spring street natural restaurant & bar,212/966 -0290,american,60 e 54th st,62 spring st at lafayette st,` new york ',` new york '
308,milan and coffee bar,212/807 -1801,` coffee bar ',351,spring street natural restaurant & bar,212/966 -0290,american,120 w 23rd st,62 spring st at lafayette st,` new york ',` new york '
299,main street,212/873 -5025,american,351,spring street natural restaurant & bar,212/966 -0290,american,446 columbus ave between 81st and 82nd sts,62 spring st at lafayette st,` new york ',` new york '
283,lanza restaurant,212/674 -7014,italian,351,spring street natural restaurant & bar,212/966 -0290,american,168 1st ave between 10th and 11th sts,62 spring st at lafayette st,` new york ',` new york '
264,hi-life restaurant and lounge,212/249 -3600,american,351,spring street natural restaurant & bar,212/966 -0290,american,1340 1st ave at 72nd st,62 spring st at lafayette st,` new york ',` new york '
253,frico bar,212/564 -7272,italian,351,spring street natural restaurant & bar,212/966 -0290,american,402 w 43rd st off 9th ave,62 spring st at lafayette st,` new york ',` new york '
228,dean & deluca,212/254 -8776,` coffee bar ',351,spring street natural restaurant & bar,212/966 -0290,american,121 prince st,62 spring st at lafayette st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,351,spring street natural restaurant & bar,212/966 -0290,american,45 mercer st between broome and grand sts,62 spring st at lafayette st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,351,spring street natural restaurant & bar,212/966 -0290,american,25 w 40th st between 5th and 6th aves,62 spring st at lafayette st,` new york ',` new york '
188,bar anise,212/355 -1112,mediterranean,351,spring street natural restaurant & bar,212/966 -0290,american,1022 3rd ave between 60th and 61st sts,62 spring st at lafayette st,` new york ',` new york '
35,gotham bar & grill,212/620 -4020,american,351,spring street natural restaurant & bar,212/966 -0290,american,12 e 12th st,62 spring st at lafayette st,` new york ',` new york '
176,9 jones street,212/989 -1220,american,351,spring street natural restaurant & bar,212/966 -0290,american,9 jones st,62 spring st at lafayette st,` new york ',` new york '
309,monkey bar,212/838 -2600,american,347,seventh regiment mess and bar,212/744 -4107,american,60 e 54th st,643 park ave at 66th st,` new york ',` new york '
308,milan and coffee bar,212/807 -1801,` coffee bar ',347,seventh regiment mess and bar,212/744 -4107,american,120 w 23rd st,643 park ave at 66th st,` new york ',` new york '
264,hi-life restaurant and lounge,212/249 -3600,american,347,seventh regiment mess and bar,212/744 -4107,american,1340 1st ave at 72nd st,643 park ave at 66th st,` new york ',` new york '
253,frico bar,212/564 -7272,italian,347,seventh regiment mess and bar,212/744 -4107,american,402 w 43rd st off 9th ave,643 park ave at 66th st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,347,seventh regiment mess and bar,212/744 -4107,american,45 mercer st between broome and grand sts,643 park ave at 66th st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,347,seventh regiment mess and bar,212/744 -4107,american,25 w 40th st between 5th and 6th aves,643 park ave at 66th st,` new york ',` new york '
188,bar anise,212/355 -1112,mediterranean,347,seventh regiment mess and bar,212/744 -4107,american,1022 3rd ave between 60th and 61st sts,643 park ave at 66th st,` new york ',` new york '
277,judson grill,212/582 -5252,american,345,sea grill,212/332 -7610,seafood,152 w 52nd st,19 w 49th st,` new york ',` new york '
269,inca grill,212/966 -3371,` latin american ',345,sea grill,212/332 -7610,seafood,492 broome st near w broadway,19 w 49th st,` new york ',` new york '
221,china grill,212/333 -7788,american,345,sea grill,212/332 -7610,seafood,60 w 53rd st,19 w 49th st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,345,sea grill,212/332 -7610,seafood,45 mercer st between broome and grand sts,19 w 49th st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,345,sea grill,212/332 -7610,seafood,25 w 40th st between 5th and 6th aves,19 w 49th st,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,345,sea grill,212/332 -7610,seafood,1 united nations plaza at 44th st,19 w 49th st,` new york ',` new york '
34,four seasons grill room,212/754 -9494,american,345,sea grill,212/332 -7610,seafood,99 e 52nd st,19 w 49th st,` new york ',` new york '
332,post house,212/935 -2888,american,341,sammy roumanian steak house,212/673 -0330,` east european ',28 e 63rd st,157 chrystie st at delancey st,` new york ',` new york '
313,new york kom tang soot bul house,' 212 / 947-8482 ',asian,341,sammy roumanian steak house,212/673 -0330,` east european ',32 w 32nd st,157 chrystie st at delancey st,` new york ',` new york '
313,new york kom tang soot bul house,' 212 / 947-8482 ',asian,332,post house,212/935 -2888,american,32 w 32nd st,28 e 63rd st,` new york ',` new york '
228,dean & deluca,212/254 -8776,` coffee bar ',326,pen & pencil,212/682 -8660,american,121 prince st,205 e 45th st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,326,pen & pencil,212/682 -8660,american,45 mercer st between broome and grand sts,205 e 45th st,` new york ',` new york '
181,alley end,212/627 -8899,american,325,peacock alley,212/872 -4895,french,311 w 17th st,301 park ave between 49th and 50th sts,` new york ',` new york '
313,new york kom tang soot bul house,' 212 / 947-8482 ',asian,314,new york noodletown,212/349 -0923,asian,32 w 32nd st,28 1/2 bowery at bayard st,` new york ',` new york '
308,milan and coffee bar,212/807 -1801,` coffee bar ',309,monkey bar,212/838 -2600,american,120 w 23rd st,60 e 54th st,` new york ',` new york '
253,frico bar,212/564 -7272,italian,309,monkey bar,212/838 -2600,american,402 w 43rd st off 9th ave,60 e 54th st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,309,monkey bar,212/838 -2600,american,45 mercer st between broome and grand sts,60 e 54th st,` new york ',` new york '
188,bar anise,212/355 -1112,mediterranean,309,monkey bar,212/838 -2600,american,1022 3rd ave between 60th and 61st sts,60 e 54th st,` new york ',` new york '
264,hi-life restaurant and lounge,212/249 -3600,american,308,milan and coffee bar,212/807 -1801,` coffee bar ',1340 1st ave at 72nd st,120 w 23rd st,` new york ',` new york '
253,frico bar,212/564 -7272,italian,308,milan and coffee bar,212/807 -1801,` coffee bar ',402 w 43rd st off 9th ave,120 w 23rd st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,308,milan and coffee bar,212/807 -1801,` coffee bar ',45 mercer st between broome and grand sts,120 w 23rd st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,308,milan and coffee bar,212/807 -1801,` coffee bar ',25 w 40th st between 5th and 6th aves,120 w 23rd st,` new york ',` new york '
188,bar anise,212/355 -1112,mediterranean,308,milan and coffee bar,212/807 -1801,` coffee bar ',1022 3rd ave between 60th and 61st sts,120 w 23rd st,` new york ',` new york '
176,9 jones street,212/989 -1220,american,299,main street,212/873 -5025,american,9 jones st,446 columbus ave between 81st and 82nd sts,` new york ',` new york '
250,fraunces tavern,212/269 -0144,american,295,lincoln tavern,212/721 -8271,american,54 pearl st at broad st,51 w 64th st,` new york ',` new york '
292,le perigord,212/755 -6244,french,293,le select,212/875 -1993,american,405 e 52nd st,507 columbus ave between 84th and 85th sts,` new york ',` new york '
291,le marais,212/869 -0900,american,293,le select,212/875 -1993,american,150 w 46th st,507 columbus ave between 84th and 85th sts,` new york ',` new york '
290,le madri,212/727 -8022,italian,293,le select,212/875 -1993,american,168 w 18th st,507 columbus ave between 84th and 85th sts,` new york ',` new york '
289,le jardin,212/343 -9599,french,293,le select,212/875 -1993,american,25 cleveland pl near spring st,507 columbus ave between 84th and 85th sts,` new york ',` new york '
288,le gamin,212/254 -4678,` coffee bar ',293,le select,212/875 -1993,american,50 macdougal st between houston and prince sts,507 columbus ave between 84th and 85th sts,` new york ',` new york '
287,le colonial,' 212 / 752-0808 ',asian,293,le select,212/875 -1993,american,149 e 57th st,507 columbus ave between 84th and 85th sts,` new york ',` new york '
286,le chantilly,212/751 -2931,french,293,le select,212/875 -1993,american,106 e 57th st,507 columbus ave between 84th and 85th sts,` new york ',` new york '
291,le marais,212/869 -0900,american,292,le perigord,212/755 -6244,french,150 w 46th st,405 e 52nd st,` new york ',` new york '
290,le madri,212/727 -8022,italian,292,le perigord,212/755 -6244,french,168 w 18th st,405 e 52nd st,` new york ',` new york '
289,le jardin,212/343 -9599,french,292,le perigord,212/755 -6244,french,25 cleveland pl near spring st,405 e 52nd st,` new york ',` new york '
288,le gamin,212/254 -4678,` coffee bar ',292,le perigord,212/755 -6244,french,50 macdougal st between houston and prince sts,405 e 52nd st,` new york ',` new york '
287,le colonial,' 212 / 752-0808 ',asian,292,le perigord,212/755 -6244,french,149 e 57th st,405 e 52nd st,` new york ',` new york '
286,le chantilly,212/751 -2931,french,292,le perigord,212/755 -6244,french,106 e 57th st,405 e 52nd st,` new york ',` new york '
290,le madri,212/727 -8022,italian,291,le marais,212/869 -0900,american,168 w 18th st,150 w 46th st,` new york ',` new york '
289,le jardin,212/343 -9599,french,291,le marais,212/869 -0900,american,25 cleveland pl near spring st,150 w 46th st,` new york ',` new york '
288,le gamin,212/254 -4678,` coffee bar ',291,le marais,212/869 -0900,american,50 macdougal st between houston and prince sts,150 w 46th st,` new york ',` new york '
287,le colonial,' 212 / 752-0808 ',asian,291,le marais,212/869 -0900,american,149 e 57th st,150 w 46th st,` new york ',` new york '
286,le chantilly,212/751 -2931,french,291,le marais,212/869 -0900,american,106 e 57th st,150 w 46th st,` new york ',` new york '
289,le jardin,212/343 -9599,french,290,le madri,212/727 -8022,italian,25 cleveland pl near spring st,168 w 18th st,` new york ',` new york '
288,le gamin,212/254 -4678,` coffee bar ',290,le madri,212/727 -8022,italian,50 macdougal st between houston and prince sts,168 w 18th st,` new york ',` new york '
287,le colonial,' 212 / 752-0808 ',asian,290,le madri,212/727 -8022,italian,149 e 57th st,168 w 18th st,` new york ',` new york '
286,le chantilly,212/751 -2931,french,290,le madri,212/727 -8022,italian,106 e 57th st,168 w 18th st,` new york ',` new york '
288,le gamin,212/254 -4678,` coffee bar ',289,le jardin,212/343 -9599,french,50 macdougal st between houston and prince sts,25 cleveland pl near spring st,` new york ',` new york '
287,le colonial,' 212 / 752-0808 ',asian,289,le jardin,212/343 -9599,french,149 e 57th st,25 cleveland pl near spring st,` new york ',` new york '
286,le chantilly,212/751 -2931,french,289,le jardin,212/343 -9599,french,106 e 57th st,25 cleveland pl near spring st,` new york ',` new york '
287,le colonial,' 212 / 752-0808 ',asian,288,le gamin,212/254 -4678,` coffee bar ',149 e 57th st,50 macdougal st between houston and prince sts,` new york ',` new york '
286,le chantilly,212/751 -2931,french,288,le gamin,212/254 -4678,` coffee bar ',106 e 57th st,50 macdougal st between houston and prince sts,` new york ',` new york '
286,le chantilly,212/751 -2931,french,287,le colonial,' 212 / 752-0808 ',asian,106 e 57th st,149 e 57th st,` new york ',` new york '
238,f. ille ponte ristorante,212/226 -4621,italian,284,lattanzi ristorante,212/315 -0980,italian,39 desbrosses st near west st,361 w 46th st,` new york ',` new york '
214,caffe bondi ristorante,212/691 -8136,italian,284,lattanzi ristorante,212/315 -0980,italian,7 w 20th st,361 w 46th st,` new york ',` new york '
264,hi-life restaurant and lounge,212/249 -3600,american,283,lanza restaurant,212/674 -7014,italian,1340 1st ave at 72nd st,168 1st ave between 10th and 11th sts,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,283,lanza restaurant,212/674 -7014,italian,25 w 40th st between 5th and 6th aves,168 1st ave between 10th and 11th sts,` new york ',` new york '
217,casa la femme,212/505 -0005,` middle eastern ',282,la reserve,212/247 -2993,french,150 wooster st between houston and prince sts,4 w 49th st,` new york ',` new york '
203,la fortuna,212/724 -5846,` coffee bar ',282,la reserve,212/247 -2993,french,69 w 71st st,4 w 49th st,` new york ',` new york '
280,l auberge du midi,212/242 -4705,french,281,l udo,212/388 -0978,french,310 w 4th st between w 12th and bank sts,432 lafayette st near astor pl,` new york ',` new york '
279,l auberge,212/288 -8791,` middle eastern ',281,l udo,212/388 -0978,french,1191 1st ave between 64th and 65th sts,432 lafayette st near astor pl,` new york ',` new york '
278,l absinthe,212/794 -4950,french,281,l udo,212/388 -0978,french,227 e 67th st,432 lafayette st near astor pl,` new york ',` new york '
279,l auberge,212/288 -8791,` middle eastern ',280,l auberge du midi,212/242 -4705,french,1191 1st ave between 64th and 65th sts,310 w 4th st between w 12th and bank sts,` new york ',` new york '
278,l absinthe,212/794 -4950,french,280,l auberge du midi,212/242 -4705,french,227 e 67th st,310 w 4th st between w 12th and bank sts,` new york ',` new york '
278,l absinthe,212/794 -4950,french,279,l auberge,212/288 -8791,` middle eastern ',227 e 67th st,1191 1st ave between 64th and 65th sts,` new york ',` new york '
269,inca grill,212/966 -3371,` latin american ',277,judson grill,212/582 -5252,american,492 broome st near w broadway,152 w 52nd st,` new york ',` new york '
221,china grill,212/333 -7788,american,277,judson grill,212/582 -5252,american,60 w 53rd st,152 w 52nd st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,277,judson grill,212/582 -5252,american,45 mercer st between broome and grand sts,152 w 52nd st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,277,judson grill,212/582 -5252,american,25 w 40th st between 5th and 6th aves,152 w 52nd st,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,277,judson grill,212/582 -5252,american,1 united nations plaza at 44th st,152 w 52nd st,` new york ',` new york '
221,china grill,212/333 -7788,american,269,inca grill,212/966 -3371,` latin american ',60 w 53rd st,492 broome st near w broadway,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,269,inca grill,212/966 -3371,` latin american ',45 mercer st between broome and grand sts,492 broome st near w broadway,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,269,inca grill,212/966 -3371,` latin american ',25 w 40th st between 5th and 6th aves,492 broome st near w broadway,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,269,inca grill,212/966 -3371,` latin american ',1 united nations plaza at 44th st,492 broome st near w broadway,` new york ',` new york '
113,il nido,212/753 -8450,italian,268,il cortile,212/226 -6060,italian,251 e 53rd st,125 mulberry st between canal and hester sts,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,264,hi-life restaurant and lounge,212/249 -3600,american,25 w 40th st between 5th and 6th aves,1340 1st ave at 72nd st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,253,frico bar,212/564 -7272,italian,45 mercer st between broome and grand sts,402 w 43rd st off 9th ave,` new york ',` new york '
188,bar anise,212/355 -1112,mediterranean,253,frico bar,212/564 -7272,italian,1022 3rd ave between 60th and 61st sts,402 w 43rd st off 9th ave,` new york ',` new york '
251,french roast,212/533 -2233,french,252,french roast,212/799 -1533,` coffee bar ',458 6th ave at 11th st,2340 broadway at 85th st,` new york ',` new york '
214,caffe bondi ristorante,212/691 -8136,italian,238,f. ille ponte ristorante,212/226 -4621,italian,7 w 20th st,39 desbrosses st near west st,` new york ',` new york '
234,em ily,212/996 -1212,american,235,em pire korea,212/725 -1333,asian,1325 5th ave at 111th st,6 e 32nd st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,232,duane park,212/732 -5555,american,25 w 40th st between 5th and 6th aves,157 duane st between w broadway and hudson st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,228,dean & deluca,212/254 -8776,` coffee bar ',45 mercer st between broome and grand sts,121 prince st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,221,china grill,212/333 -7788,american,45 mercer st between broome and grand sts,60 w 53rd st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,221,china grill,212/333 -7788,american,25 w 40th st between 5th and 6th aves,60 w 53rd st,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,221,china grill,212/333 -7788,american,1 united nations plaza at 44th st,60 w 53rd st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,218,cendrillon asian grill & marimba bar,212/343 -9012,asian,25 w 40th st between 5th and 6th aves,45 mercer st between broome and grand sts,` new york ',` new york '
188,bar anise,212/355 -1112,mediterranean,218,cendrillon asian grill & marimba bar,212/343 -9012,asian,1022 3rd ave between 60th and 61st sts,45 mercer st between broome and grand sts,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,218,cendrillon asian grill & marimba bar,212/343 -9012,asian,1 united nations plaza at 44th st,45 mercer st between broome and grand sts,` new york ',` new york '
203,la fortuna,212/724 -5846,` coffee bar ',217,casa la femme,212/505 -0005,` middle eastern ',69 w 71st st,150 wooster st between houston and prince sts,` new york ',` new york '
213,caffe vivaldi,212/691 -7538,` coffee bar ',214,caffe bondi ristorante,212/691 -8136,italian,32 jones st at bleecker st,7 w 20th st,` new york ',` new york '
212,caffe roma,212/226 -8413,` coffee bar ',214,caffe bondi ristorante,212/691 -8136,italian,385 broome st at mulberry,7 w 20th st,` new york ',` new york '
211,caffe reggio,212/475 -9557,` coffee bar ',214,caffe bondi ristorante,212/691 -8136,italian,119 macdougal st between 3rd and bleecker sts,7 w 20th st,` new york ',` new york '
210,caffe lure,212/473 -2642,french,214,caffe bondi ristorante,212/691 -8136,italian,169 sullivan st between houston and bleecker sts,7 w 20th st,` new york ',` new york '
209,caffe dell artista,212/645 -4431,` coffee bar ',214,caffe bondi ristorante,212/691 -8136,italian,46 greenwich ave,7 w 20th st,` new york ',` new york '
208,caffe dante,212/982 -5275,` coffee bar ',214,caffe bondi ristorante,212/691 -8136,italian,81 macdougal st between houston and bleeker sts,7 w 20th st,` new york ',` new york '
212,caffe roma,212/226 -8413,` coffee bar ',213,caffe vivaldi,212/691 -7538,` coffee bar ',385 broome st at mulberry,32 jones st at bleecker st,` new york ',` new york '
211,caffe reggio,212/475 -9557,` coffee bar ',213,caffe vivaldi,212/691 -7538,` coffee bar ',119 macdougal st between 3rd and bleecker sts,32 jones st at bleecker st,` new york ',` new york '
210,caffe lure,212/473 -2642,french,213,caffe vivaldi,212/691 -7538,` coffee bar ',169 sullivan st between houston and bleecker sts,32 jones st at bleecker st,` new york ',` new york '
209,caffe dell artista,212/645 -4431,` coffee bar ',213,caffe vivaldi,212/691 -7538,` coffee bar ',46 greenwich ave,32 jones st at bleecker st,` new york ',` new york '
208,caffe dante,212/982 -5275,` coffee bar ',213,caffe vivaldi,212/691 -7538,` coffee bar ',81 macdougal st between houston and bleeker sts,32 jones st at bleecker st,` new york ',` new york '
211,caffe reggio,212/475 -9557,` coffee bar ',212,caffe roma,212/226 -8413,` coffee bar ',119 macdougal st between 3rd and bleecker sts,385 broome st at mulberry,` new york ',` new york '
210,caffe lure,212/473 -2642,french,212,caffe roma,212/226 -8413,` coffee bar ',169 sullivan st between houston and bleecker sts,385 broome st at mulberry,` new york ',` new york '
209,caffe dell artista,212/645 -4431,` coffee bar ',212,caffe roma,212/226 -8413,` coffee bar ',46 greenwich ave,385 broome st at mulberry,` new york ',` new york '
208,caffe dante,212/982 -5275,` coffee bar ',212,caffe roma,212/226 -8413,` coffee bar ',81 macdougal st between houston and bleeker sts,385 broome st at mulberry,` new york ',` new york '
210,caffe lure,212/473 -2642,french,211,caffe reggio,212/475 -9557,` coffee bar ',169 sullivan st between houston and bleecker sts,119 macdougal st between 3rd and bleecker sts,` new york ',` new york '
209,caffe dell artista,212/645 -4431,` coffee bar ',211,caffe reggio,212/475 -9557,` coffee bar ',46 greenwich ave,119 macdougal st between 3rd and bleecker sts,` new york ',` new york '
208,caffe dante,212/982 -5275,` coffee bar ',211,caffe reggio,212/475 -9557,` coffee bar ',81 macdougal st between houston and bleeker sts,119 macdougal st between 3rd and bleecker sts,` new york ',` new york '
209,caffe dell artista,212/645 -4431,` coffee bar ',210,caffe lure,212/473 -2642,french,46 greenwich ave,169 sullivan st between houston and bleecker sts,` new york ',` new york '
208,caffe dante,212/982 -5275,` coffee bar ',210,caffe lure,212/473 -2642,french,81 macdougal st between houston and bleeker sts,169 sullivan st between houston and bleecker sts,` new york ',` new york '
208,caffe dante,212/982 -5275,` coffee bar ',209,caffe dell artista,212/645 -4431,` coffee bar ',81 macdougal st between houston and bleeker sts,46 greenwich ave,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,198,bryant park grill roof restaurant and bp,212/840 -6500,american,1 united nations plaza at 44th st,25 w 40th st between 5th and 6th aves,` new york ',` new york '
23,21,212/582 -7200,american,774,21,212-582-7200,` american ( new ) ',21 w 52nd st,21 w 52nd st,` new york city ',` new york '
24,aquavit,212/307 -7311,continental,775,aquavit,212-307-7311,scandinavian,13 w 54th st,13 w 54th st,` new york city ',` new york '
25,aureole,' 212 / 319-1660 ',american,776,aureole,212-319-1660,` american ( new ) ',34 e 61st st,34 e 61st st,` new york city ',` new york '
26,lalo,212/496 -6031,` coffee bar ',777,lalo,212-496-6031,coffeehouses,201 w 83rd st,201 w 83rd st,` new york city ',` new york '
27,des artistes,212/877 -3500,continental,778,des artistes,212-877-3500,` french ( classic ) ',1 w 67th st,1 w 67th st,` new york city ',` new york '
31,daniel,212/288 -0033,french,782,daniel,212-288-0033,` french ( new ) ',20 e 76th st,20 e 76th st,` new york city ',` new york '
32,dawat,212/355 -7555,asian,783,dawat,212-355-7555,indian,210 e 58th st,210 e 58th st,` new york city ',` new york '
33,felidia,212/758 -1479,italian,784,felidia,212-758-1479,italian,243 e 58th st,243 e 58th st,` new york city ',` new york '
34,four seasons grill room,212/754 -9494,american,785,four seasons,212-754-9494,` american ( new ) ',99 e 52nd st,99 e 52nd st,` new york city ',` new york '
277,judson grill,212/582 -5252,american,34,four seasons grill room,212/754 -9494,american,152 w 52nd st,99 e 52nd st,` new york ',` new york '
269,inca grill,212/966 -3371,` latin american ',34,four seasons grill room,212/754 -9494,american,492 broome st near w broadway,99 e 52nd st,` new york ',` new york '
221,china grill,212/333 -7788,american,34,four seasons grill room,212/754 -9494,american,60 w 53rd st,99 e 52nd st,` new york ',` new york '
218,cendrillon asian grill & marimba bar,212/343 -9012,asian,34,four seasons grill room,212/754 -9494,american,45 mercer st between broome and grand sts,99 e 52nd st,` new york ',` new york '
198,bryant park grill roof restaurant and bp,212/840 -6500,american,34,four seasons grill room,212/754 -9494,american,25 w 40th st between 5th and 6th aves,99 e 52nd st,` new york ',` new york '
182,ambassador grill,212/702 -5014,american,34,four seasons grill room,212/754 -9494,american,1 united nations plaza at 44th st,99 e 52nd st,` new york ',` new york '
372,vince & eddie,212/721 -0068,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',70 w 68th st,12 e 12th st,` new york ',` new york '
364,tribeca grill,212/941 -3900,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',375 greenwich st near franklin st,12 e 12th st,` new york ',` new york '
351,spring street natural restaurant & bar,212/966 -0290,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',62 spring st at lafayette st,12 e 12th st,` new york ',` new york '
347,seventh regiment mess and bar,212/744 -4107,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',643 park ave at 66th st,12 e 12th st,` new york ',` new york '
345,sea grill,212/332 -7610,seafood,786,gotham bar & grill,212-620-4020,` american ( new ) ',19 w 49th st,12 e 12th st,` new york ',` new york '
326,pen & pencil,212/682 -8660,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',205 e 45th st,12 e 12th st,` new york ',` new york '
309,monkey bar,212/838 -2600,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',60 e 54th st,12 e 12th st,` new york ',` new york '
308,milan and coffee bar,212/807 -1801,` coffee bar ',786,gotham bar & grill,212-620-4020,` american ( new ) ',120 w 23rd st,12 e 12th st,` new york ',` new york '
277,judson grill,212/582 -5252,american,786,gotham bar & grill,212-620-4020,` american ( new ) ',152 w 52nd st,12 e 12th st,` new york ',` new york '
269,inca grill,212/966 -3371,` latin american ',786,gotham bar & grill,212-620-4020,` american ( new ) ',492 broome st near w broadway,12 e 12th st,` new york ',` new york '
