c,r,n,r2,m
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1235"",id: ""1235"",value: ""' 174 1st ave. between 10th and 11th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1235"",id: ""1235"",value: ""' 174 1st ave. between 10th and 11th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1234"",id: ""1234"",value: ""' 63rd street steakhouse 44 w. 63rd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/246 -6363"",name: ""west"",cuisine: ""american"",id: ""375"",label: ""a375""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1234"",id: ""1234"",value: ""' 63rd street steakhouse 44 w. 63rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1234"",id: ""1234"",value: ""' 63rd street steakhouse 44 w. 63rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1233"",id: ""1233"",value: ""' 500 e. 30th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/683 -3333"",name: ""` water club '"",cuisine: ""american"",label: ""a374"",id: ""374""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1233"",id: ""1233"",value: ""' 500 e. 30th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1233"",id: ""1233"",value: ""' 500 e. 30th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1232"",id: ""1232"",value: ""' 200 e. 54th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/486 -9592"",name: ""vong"",cuisine: ""american"",id: ""373"",label: ""a373""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1232"",id: ""1232"",value: ""' 200 e. 54th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1232"",id: ""1232"",value: ""' 200 e. 54th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1231"",id: ""1231"",value: ""'70 w. 68th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/721 -0068"",name: ""` vince & eddie \ 's '"",cuisine: ""american"",label: ""a372"",id: ""372""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1231"",id: ""1231"",value: ""'70 w. 68th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1231"",id: ""1231"",value: ""'70 w. 68th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1230"",id: ""1230"",value: ""'52 236 w. 52nd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/586 -7714"",name: ""` victor \ 's cafe '"",cuisine: ""` latin american '"",label: ""a371"",id: ""371""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1230"",id: ""1230"",value: ""'52 236 w. 52nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1230"",id: ""1230"",value: ""'52 236 w. 52nd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1229"",id: ""1229"",value: ""'54 irving pl . at 17th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/260 -5454"",name: ""verbena"",cuisine: ""american"",label: ""a370"",id: ""370""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1229"",id: ""1229"",value: ""'54 irving pl . at 17th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1229"",id: ""1229"",value: ""'54 irving pl . at 17th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1228"",id: ""1228"",value: ""' 342 e. 11th st. near 1st ave. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/674 -7264"",name: ""` veniero \ 's pasticceria '"",cuisine: ""` coffee bar '"",id: ""369"",label: ""a369""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1228"",id: ""1228"",value: ""' 342 e. 11th st. near 1st ave. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1228"",id: ""1228"",value: ""' 342 e. 11th st. near 1st ave. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1227"",id: ""1227"",value: ""' 222 w. 79th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/799 -0400"",name: ""` two two two '"",cuisine: ""american"",label: ""a368"",id: ""368""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1227"",id: ""1227"",value: ""' 222 w. 79th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1227"",id: ""1227"",value: ""' 222 w. 79th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1226"",id: ""1226"",value: ""' 386 3rd ave. between 27th and 28th sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/679 -1810"",name: ""` turkish kitchen '"",cuisine: ""` middle eastern '"",label: ""a367"",id: ""367""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1226"",id: ""1226"",value: ""' 386 3rd ave. between 27th and 28th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1226"",id: ""1226"",value: ""' 386 3rd ave. between 27th and 28th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1225"",id: ""1225"",value: ""'34 e. 51st st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/688 -5447"",name: ""` tse yang '"",cuisine: ""asian"",label: ""a366"",id: ""366""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1225"",id: ""1225"",value: ""'34 e. 51st st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1225"",id: ""1225"",value: ""'34 e. 51st st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1224"",id: ""1224"",value: ""' 154 e. 79th st. between lexington and 3rd aves . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/988 -4858"",name: ""` trois jean '"",cuisine: ""` coffee bar '"",label: ""a365"",id: ""365""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1224"",id: ""1224"",value: ""' 154 e. 79th st. between lexington and 3rd aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1224"",id: ""1224"",value: ""' 154 e. 79th st. between lexington and 3rd aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1223"",id: ""1223"",value: ""' 375 greenwich st. near franklin st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/941 -3900"",name: ""` tribeca grill '"",cuisine: ""american"",label: ""a364"",id: ""364""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1223"",id: ""1223"",value: ""' 375 greenwich st. near franklin st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1223"",id: ""1223"",value: ""' 375 greenwich st. near franklin st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1222"",id: ""1222"",value: ""' 345 e. 83rd st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/472 -4488"",name: ""triangolo"",cuisine: ""italian"",label: ""a363"",id: ""363""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1222"",id: ""1222"",value: ""' 345 e. 83rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1222"",id: ""1222"",value: ""' 345 e. 83rd st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1221"",id: ""1221"",value: ""' 900 7th ave. between 56th and 57th sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/245 -9800"",name: ""` trattoria dell \ ` arte '"",cuisine: ""italian"",label: ""a362"",id: ""362""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1221"",id: ""1221"",value: ""' 900 7th ave. between 56th and 57th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1221"",id: ""1221"",value: ""' 900 7th ave. between 56th and 57th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1220"",id: ""1220"",value: ""' 2420 broadway at 89th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/496 -1066"",name: ""` the savannah club '"",cuisine: ""american"",label: ""a361"",id: ""361""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1220"",id: ""1220"",value: ""' 2420 broadway at 89th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1220"",id: ""1220"",value: ""' 2420 broadway at 89th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1219"",id: ""1219"",value: ""' 350 9th ave. at 49th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/265 -3566"",name: ""` the coffee pot '"",cuisine: ""` coffee bar '"",label: ""a360"",id: ""360""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1219"",id: ""1219"",value: ""' 350 9th ave. at 49th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1219"",id: ""1219"",value: ""' 350 9th ave. at 49th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1218"",id: ""1218"",value: ""' 400 w. 119th st. between amsterdam and morningside aves . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/666 -9490"",name: ""terrace"",cuisine: ""continental"",label: ""a359"",id: ""359""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1218"",id: ""1218"",value: ""' 400 w. 119th st. between amsterdam and morningside aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1218"",id: ""1218"",value: ""' 400 w. 119th st. between amsterdam and morningside aves . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1217"",id: ""1217"",value: ""' 103 1st ave. between 6th and 7th sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/228 -0604"",name: ""` teresa \ 's '"",cuisine: ""` east european '"",label: ""a358"",id: ""358""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1217"",id: ""1217"",value: ""' 103 1st ave. between 6th and 7th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1217"",id: ""1217"",value: ""' 103 1st ave. between 6th and 7th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1216"",id: ""1216"",value: ""' 950 8th ave. at 56th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""' 212 / 397-3737 '"",name: ""tapika"",cuisine: ""american"",id: ""357"",label: ""a357""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1216"",id: ""1216"",value: ""' 950 8th ave. at 56th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1216"",id: ""1216"",value: ""' 950 8th ave. at 56th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1215"",id: ""1215"",value: ""'65 w. 55th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/956 -6888"",name: ""` tang pavillion '"",cuisine: ""asian"",label: ""a356"",id: ""356""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1215"",id: ""1215"",value: ""'65 w. 55th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1215"",id: ""1215"",value: ""'65 w. 55th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1214"",id: ""1214"",value: ""' 143 mercer st. at prince st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/925 -3700"",name: ""' t salon '"",cuisine: ""` coffee bar '"",label: ""a355"",id: ""355""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1214"",id: ""1214"",value: ""' 143 mercer st. at prince st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1214"",id: ""1214"",value: ""' 143 mercer st. at prince st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1213"",id: ""1213"",value: ""'76 mott st. at canal st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/334 -8088"",name: ""` sweet \ ` n \ ` tart cafe '"",cuisine: ""asian"",id: ""354"",label: ""a354""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1213"",id: ""1213"",value: ""'76 mott st. at canal st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1213"",id: ""1213"",value: ""'76 mott st. at canal st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1212"",id: ""1212"",value: ""' 428 amsterdam ave. between 80th and 81st sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/501 -7515"",name: ""stingray"",cuisine: ""seafood"",label: ""a353"",id: ""353""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1212"",id: ""1212"",value: ""' 428 amsterdam ave. between 80th and 81st sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1212"",id: ""1212"",value: ""' 428 amsterdam ave. between 80th and 81st sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1211"",id: ""1211"",value: ""' 834 7th ave. between 53rd and 54th sts . '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/245 -7850"",name: ""` stage deli '"",cuisine: ""delicatessen"",label: ""a352"",id: ""352""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1211"",id: ""1211"",value: ""' 834 7th ave. between 53rd and 54th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1211"",id: ""1211"",value: ""' 834 7th ave. between 53rd and 54th sts . '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1210"",id: ""1210"",value: ""'62 spring st. at lafayette st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/966 -0290"",name: ""` spring street natural restaurant & bar '"",cuisine: ""american"",id: ""351"",label: ""a351""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1210"",id: ""1210"",value: ""'62 spring st. at lafayette st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1210"",id: ""1210"",value: ""'62 spring st. at lafayette st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1209"",id: ""1209"",value: ""' 1022 madison ave. near 79th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/734 -2676"",name: ""` sofia fabulous pizza '"",cuisine: ""italian"",label: ""a350"",id: ""350""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1209"",id: ""1209"",value: ""' 1022 madison ave. near 79th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1209"",id: ""1209"",value: ""' 1022 madison ave. near 79th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1208"",id: ""1208"",value: ""'57 w. 48th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""' 212 / 977-8400 '"",name: ""shaan"",cuisine: ""asian"",id: ""349"",label: ""a349""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1208"",id: ""1208"",value: ""'57 w. 48th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1208"",id: ""1208"",value: ""'57 w. 48th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1207"",id: ""1207"",value: ""'58 w. 65th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/873 -3700"",name: ""sfuzzi"",cuisine: ""american"",label: ""a348"",id: ""348""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1207"",id: ""1207"",value: ""'58 w. 65th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1207"",id: ""1207"",value: ""'58 w. 65th st. '""})",[:IN_CITY],"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})"
"(:City {label: ""v1673"",id: ""1673"",value: ""` new york '""})",[:IN_CITY],"(:Address {label: ""f1206"",id: ""1206"",value: ""' 643 park ave. at 66th st. '""})",[:LOCATED_AT],"(:Restaurant {phone: ""212/744 -4107"",name: ""` seventh regiment mess and bar '"",cuisine: ""american"",id: ""347"",label: ""a347""})"
